,Country Name,Country Code,GDP (current US$),"GNI per capita, Atlas method (current US$)",gdp_per_worker_2021_ppp,"Agriculture, forestry, and fishing, value added (% of GDP)",Gross savings (% of GDP),Final consumption expenditure (annual % growth),Consumer price index (2010 = 100),GDP growth (annual %),Year
0,Aruba,ABW,,,,,,,,,2023
1,Africa Eastern and Southern,AFE,1236163045000,1601.589297,10663.601,14.66749235,,1.444657979,,2.622310407,2023
2,Afghanistan,AFG,,,,,,,,,2023
3,Africa Western and Central,AFW,796586157553,1702.074629,14189.40087,21.30269113,,,,3.342775594,2023
4,Angola,AGO,84722957642,2130,20361.50515,14.92004015,30.17871709,-2.129326881,804.9655331,0.8560009348,2023
5,Albania,ALB,22977677861,7570,40187.26024,18.26698386,17.75911608,3.771081262,,3.439149499,2023
6,Andorra,AND,3727673593,,,0.484408992,,,,1.444184231,2023
7,Arab World,ARB,3491516939570,7329.818921,62043.70337,4.652208548,,2.713790762,,0.9297919805,2023
8,United Arab Emirates,ARE,504173451327,53290,111219.304,,,,,3.403857206,2023
9,Argentina,ARG,640591410664,12520,60505.27393,6.059508763,15.12142697,1.12945987,,-1.550501536,2023
10,Armenia,ARM,24212134631,7330,46480.43706,8.395589686,19.17896607,8.3,155.2583555,8.7,2023
11,American Samoa,ASM,,,,,,,,,2023
12,Antigua and Barbuda,ATG,2033085185,19990,,1.914441289,,,133.943906,3.862012187,2023
13,Australia,AUS,1723827215335,63140,113318.461,2.383387969,24.81177276,4.034673315,139.880333,3.016988104,2023
14,Austria,AUT,516034144116,55070,129145.5536,1.340265315,27.05366709,-0.322988312,143.9464948,-0.828815089,2023
15,Azerbaijan,AZE,72356176471,6680,41803.69541,5.540890448,29.81595953,,212.9596618,1.123974327,2023
16,Burundi,BDI,2642161669,230,2000.039878,25.21939214,11.00704759,3.521444424,319.5179074,2.700000597,2023
17,Belgium,BEL,632216577075,54530,146476.8257,0.7738341906,25.20699658,1.479648046,137.8193856,1.365055231,2023
18,Benin,BEN,19673284686,1440,10729.13661,25.40202588,,3.508774864,120.8236959,6.352821609,2023
19,Burkina Faso,BFA,20324617839,850,7013.889254,16.33445505,,6.35657704,131.759116,2.960180013,2023
20,Bangladesh,BGD,437415331041,2860,19690.05983,11.00369002,34.90435988,2.521149415,237.1995696,5.77511237,2023
21,Bulgaria,BGR,101584384673,14460,72003.72716,3.031946527,20.11737728,3.995106798,151.670714,1.84638956,2023
22,Bahrain,BHR,43205000000,28280,101275.3418,0.268881409,,,119.5860999,2.481465339,2023
23,"Bahamas, The",BHS,14338500000,31990,60319.40448,0.4484430031,,7.280710817,130.2046845,2.639055981,2023
24,Bosnia and Herzegovina,BIH,27054889363,8160,52845.59536,4.344848113,18.15246839,1.590793814,,1.676223469,2023
25,Belarus,BLR,71857382746,7780,53174.67635,7.250383271,25.12331494,6.694878195,710.4631882,3.886242145,2023
26,Belize,BLZ,3281500000,7190,30133.33643,9.005028188,27.61142959,4.990647893,121.7348804,4.541632208,2023
27,Bermuda,BMU,,,,,,,,,2023
